region|target|taker|trx|rev|deliv|deliv_taker
Sumbagut|313425|41|41|2655153.0|128158|12
Sumbagteng|302413|69|73|4679459.0|124481|18
Sumbagsel|268671|43|43|3403306.0|114037|22
Western Jabotabek|165290|47|47|3051765.0|79382|11
Central Jabotabek|341627|91|91|5383683.0|158643|25
Eastern Jabotabek|312327|88|91|5325103.0|142522|34
Jabar|293485|36|36|2491765.0|119945|11
Jateng|366102|46|46|2985426.0|151541|15
Jatim|515907|66|67|4333465.0|194472|24
Balnus|177433|26|27|2151153.0|69789|10
Kalimantan|543196|99|103|6478806.0|218927|49
Sulawesi|403814|100|101|6021459.0|146641|43
Puma|176840|58|59|3279000.0|70317|21
